Unnamed: 1,cars,bus_coach,railways,tram_metro
EU27,85.24402694871294,7.448961621898187,6.041787748383678,1.265223681005182
BE,84.91282024783618,8.14050516081379,6.116479178939798,0.8301954124102336
BG,88.2834097842841,8.40172701257332,2.0418742618435766,1.2729889412989879
CZ,81.87948585199064,8.468227038583446,6.287176469273659,3.365110640152263
DK,86.30743084857009,7.082161275199248,6.125468823253633,0.48493905297702766
DE,88.47954301971107,3.835753697644198,6.432212279332332,1.2524910033123913
EE,88.90552051542937,8.740407812809517,1.9679489640642545,0.38612270769686297
IE,85.49598828848275,12.928584061771407,1.382158071765919,0.19326957797993544
EL,86.26424366968712,12.164315729182373,0.5768845538215458,0.9945560473089434
ES,85.66202192842448,7.205163547718582,5.177333853381006,1.9554806704759282
FR,84.97070540250672,4.756107246389728,9.405527052868198,0.8676602982353626
HR,87.525757863916,9.041995301264718,2.0353947581926435,1.396852076626635
IT,82.00722483215635,12.707539870282142,4.381893931362512,0.9033413661989882
CY,87.28476309972577,12.71523690027423,0.0,0.0
LV,88.20510248349014,9.04076860779385,2.369993077781991,0.38413583093401626
LT,94.67241580838,4.447321288341389,0.880262903278606,0.0
LU,85.97216707537699,10.17820200972118,3.4610347628287528,0.38859615207308673
HU,77.65577104129665,14.045955811720296,6.262491372986038,2.0357817739970057
MT,85.91320452881595,14.086795471184049,0.0,0.0
NL,88.97220963020446,2.2632263583537577,8.33864759168056,0.4259164197612304
AT,75.66244329283619,8.398142017354054,9.167624921112276,6.771789768697492
PL,85.3400033891374,7.766117087289574,5.835176133685019,1.0587033898880023
PT,90.75028447290899,5.682368434086991,2.9166546595563987,0.6506924334476142
RO,80.03745730263904,14.474691020292635,3.1361825281505467,2.351669148917773
SI,90.0157251668301,8.204160728757913,1.7801141044119804,0.0
SK,83.33057564172076,10.063101594623776,6.15349286950752,0.4528298941479453
FI,87.12496088357774,8.219335932412996,3.9767887019658206,0.6789144820434436
SE,82.86428902269569,8.22510421491431,7.43584993052339,1.474756831866605
IS,89.01524789378884,10.984752106211165,0.0,0.0
NO,92.57800323065152,4.1034942046646075,2.522175305353246,0.7963272593306318
CH,81.70178294533802,5.040390989556674,12.540138333709699,0.7176877313956052
ME,98.53802750435726,0.6771036119515428,0.7848688836912054,0.0
MK,98.1656374863785,1.6073374500544857,0.22702506356701782,0.0
AL,92.83086253330859,7.16173970376847,0.007397762922944402,0.0
RS,87.17817527368167,10.400714201085794,0.5539699978827068,1.8671405273498154
UK,90.68438524428025,3.1118595407044496,4.94041013364668,1.2633450813686198
